Date;day;month;year;ISO;Country;Status
17/2/2020;17;2;2020;SRB;Serbia;Fully open
17/2/2020;17;2;2020;SSD;South Sudan;Fully open
17/2/2020;17;2;2020;STP;São Tomé and Príncipe;Fully open
17/2/2020;17;2;2020;SUR;Suriname;Fully open
17/2/2020;17;2;2020;SVK;Slovakia;Fully open
17/2/2020;17;2;2020;SVN;Slovenia;Fully open
17/2/2020;17;2;2020;SWE;Sweden;Fully open
17/2/2020;17;2;2020;SWZ;Eswatini;Fully open
17/2/2020;17;2;2020;SXM;Sint Marteen;Fully open
17/2/2020;17;2;2020;SYC;Seychelles;Fully open
17/2/2020;17;2;2020;SYR;Syrian Arab Republic;Fully open
17/2/2020;17;2;2020;TCA;Turks and Caicos Island;Fully open
17/2/2020;17;2;2020;TCD;Chad;Fully open
17/2/2020;17;2;2020;TGO;Togo;Fully open
17/2/2020;17;2;2020;THA;Thailand;Fully open
17/2/2020;17;2;2020;TJK;Tajikistan;Fully open
17/2/2020;17;2;2020;TKL;Tokelau;Fully open
17/2/2020;17;2;2020;TKM;Turkmenistan;Fully open
17/2/2020;17;2;2020;TLS;Timor-Leste;Fully open
17/2/2020;17;2;2020;TON;Tonga;Fully open
17/2/2020;17;2;2020;TTO;Trinidad and Tobago;Fully open
17/2/2020;17;2;2020;TUN;Tunisia;Fully open
17/2/2020;17;2;2020;TUR;Turkey;Fully open
17/2/2020;17;2;2020;TUV;Tuvalu;Fully open
17/2/2020;17;2;2020;TZA;United Republic of Tanzania;Fully open
17/2/2020;17;2;2020;UGA;Uganda;Fully open
17/2/2020;17;2;2020;UKR;Ukraine;Fully open
17/2/2020;17;2;2020;URY;Uruguay;Fully open
17/2/2020;17;2;2020;USA;United States of America;Fully open
17/2/2020;17;2;2020;UZB;Uzbekistan;Fully open
17/2/2020;17;2;2020;VCT;Saint Vincent and the Grenadines;Fully open
17/2/2020;17;2;2020;VEN;Venezuela;Fully open
17/2/2020;17;2;2020;VGB;British Virgin Islands;Fully open
17/2/2020;17;2;2020;VNM;Viet Nam;Fully open
17/2/2020;17;2;2020;VUT;Vanuatu;Fully open
17/2/2020;17;2;2020;WSM;Samoa;Fully open
17/2/2020;17;2;2020;YEM;Yemen;Fully open
17/2/2020;17;2;2020;ZAF;South Africa;Fully open
17/2/2020;17;2;2020;ZMB;Zambia;Fully open
17/2/2020;17;2;2020;ZWE;Zimbabwe;Fully open
24/2/2020;24;2;2020;ABW;Aruba;Fully open
24/2/2020;24;2;2020;AFG;Afghanistan;Fully open
24/2/2020;24;2;2020;AGO;Angola;Fully open
24/2/2020;24;2;2020;AIA;Anguilla;Fully open
24/2/2020;24;2;2020;ALB;Albania;Fully open
24/2/2020;24;2;2020;AND;Andorra;Fully open
24/2/2020;24;2;2020;ARE;United Arab Emirates;Fully open
24/2/2020;24;2;2020;ARG;Argentina;Fully open
24/2/2020;24;2;2020;ARM;Armenia;Fully open
24/2/2020;24;2;2020;ATG;Antigua and Barbuda;Fully open
24/2/2020;24;2;2020;AUS;Australia;Fully open
24/2/2020;24;2;2020;AUT;Austria;Fully open
24/2/2020;24;2;2020;AZE;Azerbaijan;Fully open
24/2/2020;24;2;2020;BDI;Burundi;Fully open
24/2/2020;24;2;2020;BEL;Belgium;Fully open
24/2/2020;24;2;2020;BEN;Benin;Fully open
24/2/2020;24;2;2020;BFA;Burkina Faso;Fully open
